title,link,source,date,label
YouTube,https://www.youtube.com/factcheckdotorg,FactCheck,3/26/2025,real
X (Twitter),https://twitter.com/factcheckdotorg,FactCheck,3/26/2025,real
Facebook,https://www.facebook.com/factcheck.org,FactCheck,3/26/2025,real
TikTok,https://www.tiktok.com/@factcheckorg,FactCheck,3/26/2025,real
FactCheck On the Air,https://www.factcheck.org/on-the-air/,FactCheck,3/26/2025,real
Mailbag,https://www.factcheck.org/factcheck-mailbag/,FactCheck,3/26/2025,real
Q&A on Egg Prices,https://www.factcheck.org/2025/03/qa-on-egg-prices/,FactCheck,3/26/2025,real
Trump’s Baseless Autopen Claim,https://www.factcheck.org/2025/03/trumps-baseless-autopen-claim/,FactCheck,3/26/2025,real
The Facts Behind the Delayed Return of U.S. Astronauts,https://www.factcheck.org/2025/03/the-facts-behind-the-delayed-return-of-u-s-astronauts/,FactCheck,3/26/2025,real
Trump’s Flawed Claim that Tariffs Made the U.S. Its ‘Richest’,https://www.factcheck.org/2025/03/trumps-flawed-claim-that-tariffs-made-the-u-s-its-richest/,FactCheck,3/26/2025,real
"RFK Jr. Misleads on Vitamin A, Unsupported Therapies for Measles",https://www.factcheck.org/2025/03/rfk-jr-misleads-on-vitamin-a-unsupported-therapies-for-measles/,FactCheck,3/26/2025,real
Previous,https://www.factcheck.org/#fc-carousel,FactCheck,3/26/2025,real
Viral Posts Share Phony ‘Leaked’ Audio of Vance Criticizing Musk,https://www.factcheck.org/2025/03/viral-posts-share-phony-leaked-audio-of-vance-criticizing-musk/,FactCheck,3/26/2025,real
RFK Jr. Misleads About Measles Vaccine in Hannity Interview,https://www.factcheck.org/2025/03/rfk-jr-misleads-about-measles-vaccine-in-hannity-interview/,FactCheck,3/26/2025,real
Posts Fabricate Claims About Trump’s Response to Duterte’s Arrest,https://www.factcheck.org/2025/03/posts-fabricate-claims-about-trumps-response-to-dutertes-arrest/,FactCheck,3/26/2025,real
Trump Misleads on Jobs,https://www.factcheck.org/2025/03/trump-misleads-on-jobs/,FactCheck,3/26/2025,real
"Measles Is Harmful, Contrary to Flimsy Social Media Claims of Long-Term Benefits",https://www.factcheck.org/2025/03/measles-is-harmful-contrary-to-flimsy-social-media-claims-of-long-term-benefits/,FactCheck,3/26/2025,real
"Study Focused on Feminine Hygiene Products, Not Transgender Men",https://www.factcheck.org/2025/03/study-focused-on-feminine-hygiene-products-not-transgender-men/,FactCheck,3/26/2025,real
"Full-Time Employment Increased Under Biden, Contrary to Rick Scott’s Claim",https://www.factcheck.org/2025/03/full-time-employment-increased-under-biden-contrary-to-rick-scotts-claim/,FactCheck,3/26/2025,real
»Next page,https://www.factcheck.org/page/2/,FactCheck,3/26/2025,real
Read the full question and answer,https://www.factcheck.org/2025/02/will-save-act-prevent-married-women-from-registering-to-vote/,FactCheck,3/26/2025,real
View the Ask FactCheck archives,https://www.factcheck.org/askfactcheck/,FactCheck,3/26/2025,real
Ask us.,https://www.factcheck.org/ask-factcheck/ask-us-a-question/,FactCheck,3/26/2025,real
Donate Now Because facts matter.,https://giving.aws.cloud.upenn.edu/?fastStart=simpleForm&program=ANS&fund=602014,FactCheck,3/26/2025,real
SciCheck's COVID-19/Vaccination Project Preempting and exposing vaccination and COVID-19 misinformation.,https://www.factcheck.org/covid-misconceptions/,FactCheck,3/26/2025,real
Proyecto de Vacunación/COVID-19 Precaviendo y exponiendo la desinformación sobre el COVID-19 y sus vacunas,https://www.factcheck.org/es/covid-misconceptions/,FactCheck,3/26/2025,real
SciCheck Fact-checking science-based claims.,https://www.factcheck.org/scicheck/,FactCheck,3/26/2025,real
Facebook Initiative Debunking viral claims.,https://www.factcheck.org/fake-news/,FactCheck,3/26/2025,real
Players Guide 2024 The special interest groups behind the TV ads.,https://www.factcheck.org/players-guide/2024/,FactCheck,3/26/2025,real
Viral Spiral Don’t get spun by internet rumors.,https://www.factcheck.org/hot-topics/,FactCheck,3/26/2025,real
Sign Up Get free email alerts.,https://www.factcheck.org/subscribe,FactCheck,3/26/2025,real
Mailbag Letters from our readers.,https://www.factcheck.org/factcheck-mailbag/,FactCheck,3/26/2025,real
On the Air Our staff on TV and radio.,https://www.factcheck.org/on-the-air,FactCheck,3/26/2025,real
NewsFeed Defenders A media literacy game to detect misinformation.,https://www.factcheck.org/newsfeed-defenders/,FactCheck,3/26/2025,real
Archives,https://www.factcheck.org/archives/,FactCheck,3/26/2025,real
Privacy,https://www.factcheck.org/privacy/,FactCheck,3/26/2025,real
Copyright Policy,https://www.factcheck.org/copyright-policy/,FactCheck,3/26/2025,real
Report Accessibility Issues and Get Help,https://accessibility.web-resources.upenn.edu/get-help,FactCheck,3/26/2025,real
震惊！吃大蒜竟能治疗癌症？,fake_link1,unknown,3/26/2025,fake
紧急通知：明天全球互联网关闭一天！,fake_link2,unknown,3/26/2025,fake
科学家发现外星人基地，NASA隐瞒真相,fake_link3,unknown,3/26/2025,fake
