标题,网站,时间
25 2025-02-25 已辟谣 基因检测能够检测出孩子的天赋？ 基因 基因检查 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=XgBW,
25 2025-02-25 已辟谣 人工增雪下的就是假雪？ 人工降雪 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=kVYo,
24 2025-02-24 已辟谣 肺结节等于肺癌？ 肺结节 肺癌 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=mVRm,
24 2025-02-24 已辟谣 冻伤了，可以用雪搓？ 冻伤 冻疮 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=rBOl,
21 2025-02-21 已辟谣 暖冬意味着整个冬季都很暖和？ 暖冬 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=ArkZ,
20 2025-02-20 已辟谣 流感等于感冒？ 流感 感冒 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=YnYX,
19 2025-02-19 已辟谣 脑瘫就是傻子吗？ 脑瘫 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=Bokz,
18 2025-02-18 已辟谣 自发热内衣能凭空产热？ 发热内衣 科学辟谣进行时 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=wzEM,
17 2025-02-17 已辟谣 吃萝卜会促进结节生长？ 萝卜 结节 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=oVZa,
17 2025-02-17 已辟谣 又白又暄的大包子是明矾做出来的，长期摄入会影响骨骼和神经？ 包子 明矾 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=vXzw,
14 2025-02-14 已辟谣 喝水越多，伤肾越深？ 喝水 伤肾 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=bRYv,
14 2025-02-14 已辟谣 健康真知儿童可以喝一点酒？ 喝酒 饮酒 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=exYE,
13 2025-02-13 已辟谣 去年接种过流感疫苗，今年就不需要接种了？ 流感 流感疫苗 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=OxkQ,
13 2025-02-13 已辟谣 冬天皮肤干燥，需要天天敷面膜补水？ 面膜 补水 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=anYX,
13 2025-02-13 已辟谣 发热后多捂汗好得快？ 发烧 发烧捂汗 科学辟谣进行时 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=pkpk,
13 2025-02-13 已辟谣 口腔溃疡敷维生素C 能治疗？ 口腔溃疡 科学辟谣进行时 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=ZRYy,
06 2025-02-06 已辟谣 喝酒能御寒？ 喝酒御寒 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=JQkj,
05 2025-02-05 已辟谣 喝酒脸红是一种基因突变，这样的人酒量更大？ 醉酒 喝酒脸红 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=kVLo,
05 2025-02-05 已辟谣 泡菜致癌、高盐，并不健康，不应该再吃了？ 泡菜 亚硝酸盐 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=mVlm,
26 2025-01-26 已辟谣 瘤言蜚语乳房X光片检查可发现所有乳腺癌？ 乳腺癌 乳腺 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=rBbl,
26 2025-01-26 已辟谣 草莓要多用农药才能增产增收，所以农残高？ 草莓 农药 科学辟谣进行时 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=ArlZ,
25 2025-01-25 已辟谣 健康新知玛巴洛沙韦可以预防流感？ 流感 玛巴洛沙韦 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=YnEX,
